spelling,meaning,tags
sạch,清潔な,形容詞
bẩn,汚い,形容詞
giàu,裕福な,形容詞
nghèo,貧しい,形容詞
thông minh,賢い,形容詞
ngốc,愚かな,形容詞
chăm chỉ,勤勉な,形容詞
lười,怠惰な,形容詞
tốt,良い,形容詞
đúng,正しい,形容詞
sai,間違っている,形容詞
dễ,簡単な,形容詞
khó,難しい,形容詞
rẻ,安い,形容詞
đắt,高い（値段）,形容詞
an toàn,安全な,形容詞
nguy hiểm,危険な,形容詞
già,年老いた,形容詞
trẻ,若い,形容詞
đói,お腹が空いた,形容詞
no,満腹な,形容詞
khát,喉が渇いた,形容詞
mệt,疲れた,形容詞
khỏe,健康な,形容詞
ốm,病気の,形容詞
vắng,人がいない,形容詞
đông,混雑している,形容詞
nhà,家,場所
trường,学校,場所
chợ,市場,場所
bệnh viện,病院,場所
sân bay,空港,場所
nhà ga,駅,場所
công ty,会社,場所
văn phòng,オフィス,場所
nhà hàng,レストラン,場所
khách sạn,ホテル,場所
công viên,公園,場所
thư viện,図書館,場所
bảo tàng,博物館,場所
chùa,寺,場所
nhà thờ,教会,場所
bãi biển,ビーチ,場所
thành phố,都市,場所
nông thôn,田舎,場所
đất nước,国,場所
thủ đô,首都,場所
siêu thị,スーパー,場所
tiệm,店,場所
ngân hàng,銀行,場所
bưu điện,郵便局,場所
sân bóng,グラウンド,場所
rạp chiếu phim,映画館,場所
thứ hai,月曜日,曜日
thứ ba,火曜日,曜日
thứ tư,水曜日,曜日
thứ năm,木曜日,曜日
thứ sáu,金曜日,曜日
thứ bảy,土曜日,曜日
chủ nhật,日曜日,曜日
giờ,時,時間
phút,分,時間
giây,秒,時間
ngày,日,時間
tuần,週,時間
tháng,月,時間
hôm nay,今日,時間
hôm qua,昨日,時間
ngày mai,明日,時間
sáng,朝,時間
trưa,昼,時間
chiều,午後,時間
tối,夜,時間
đêm,深夜,時間
bây giờ,今,時間
lúc nào,いつ,時間
mùa xuân,春,時間
mùa hè,夏,時間
mùa thu,秋,時間
mùa đông,冬,時間
màu đỏ,赤,色
màu vàng,黄色,色
màu xanh lá cây,緑,色
màu xanh dương,青,色
màu trắng,白,色
màu đen,黒,色
màu nâu,茶色,色
màu tím,紫,色
màu hồng,ピンク,色
màu cam,オレンジ色,色
màu xám,灰色,色
con chó,犬,動物
con mèo,猫,動物
con gà,鶏,動物
con vịt,アヒル,動物
con lợn,豚,動物
con bò,牛,動物
con trâu,水牛,動物
con ngựa,馬,動物
con dê,ヤギ,動物
con cừu,羊,動物
con chuột,ネズミ,動物
con thỏ,ウサギ,動物
con khỉ,サル,動物
con voi,象,動物
con hổ,虎,動物
con sư tử,ライオン,動物
con rắn,蛇,動物
con ếch,カエル,動物
con chim,鳥,動物
con ong,蜂,動物
con bướm,蝶,動物
con kiến,アリ,動物
con muỗi,蚊,動物
con nhện,クモ,動物
con cua,カニ,動物
con rùa,カメ,動物
cây,木,自然
hoa,花,自然
lá,葉,自然
cỏ,草,自然
rừng,森,自然
núi,山,自然
sông,川,自然
biển,海,自然
hồ,湖,自然
đảo,島,自然
trời,空,自然
mặt trời,太陽,自然
mặt trăng,月,自然
sao,星,自然
mây,雲,自然
mưa,雨,天気
gió,風,天気
tuyết,雪,天気
nắng,晴れ,天気
bão,台風,天気
sấm,雷鳴,天気
áo,上着,衣類
quần,ズボン,衣類
áo sơ mi,シャツ,衣類
áo khoác,コート,衣類
áo dài,アオザイ,衣類
váy,スカート,衣類
quần áo,服,衣類
giày,靴,衣類
dép,サンダル,衣類
mũ,帽子,衣類
kính,メガネ,衣類
đồng hồ,時計,衣類
túi xách,バッグ,衣類
giáo viên,教師,職業
học sinh,生徒,職業
sinh viên,大学生,職業
bác sĩ,医者,職業
y tá,看護師,職業
kỹ sư,エンジニア,職業
công nhân,労働者,職業
nông dân,農民,職業
cảnh sát,警察官,職業
luật sư,弁護士,職業
ca sĩ,歌手,職業
diễn viên,俳優,職業
đầu bếp,料理人,職業
tài xế,運転手,職業
doanh nhân,実業家,職業
nhân viên,社員,職業
giám đốc,社長・部長,職業
họa sĩ,画家,職業
xe máy,バイク,交通
xe đạp,自転車,交通
xe hơi,車,交通
xe buýt,バス,交通
tàu hỏa,電車,交通
máy bay,飛行機,交通
tàu thủy,船,交通
taxi,タクシー,交通
đường,道路,交通
bàn,机・テーブル,家庭用品
ghế,椅子,家庭用品
giường,ベッド,家庭用品
tủ,棚・タンス,家庭用品
gương,鏡,家庭用品
đèn,電気・ランプ,家庭用品
quạt,扇風機,家庭用品
tủ lạnh,冷蔵庫,家庭用品
nồi,鍋,家庭用品
bát,茶碗,家庭用品
đĩa,皿,家庭用品
đũa,箸,家庭用品
thìa,スプーン,家庭用品
dao,ナイフ,家庭用品
ly,コップ,家庭用品
chăn,毛布,家庭用品
gối,枕,家庭用品
cửa,ドア,家庭用品
cửa sổ,窓,家庭用品
sách,本,学校
vở,ノート,学校
bút,ペン,学校
bút chì,鉛筆,学校
thước,定規,学校
cặp sách,かばん,学校
lớp học,教室,学校
bài tập,宿題,学校
bài kiểm tra,試験,学校
từ điển,辞書,学校
máy tính,コンピューター,技術
bảng,黒板,学校
giận,怒っている,感情
sợ,怖い,感情
lo lắng,心配な,感情
hạnh phúc,幸せな,感情
ngạc nhiên,驚いた,感情
thích,好き,感情
ghét,嫌い,感情
yêu,愛する,感情
hy vọng,希望する,感情
thất vọng,失望した,感情
gì,何,疑問詞
ai,誰,疑問詞
đâu,どこ,疑問詞
khi nào,いつ,疑問詞
tại sao,なぜ,疑問詞
thế nào,どのように,疑問詞
bao nhiêu,いくつ・いくら,疑問詞
cái nào,どれ,疑問詞
và,そして,疑問詞
hoặc,または,疑問詞
nhưng,しかし,疑問詞
vì,なぜなら,疑問詞
nếu,もし,疑問詞
tiền,お金,お金
giá,値段,お金
cửa hàng,店,お金
giảm giá,割引,お金
hóa đơn,領収書,お金
ví,財布,お金
trên,上,方向
dưới,下,方向
trong,中,方向
ngoài,外,方向
trước,前,方向
sau,後ろ,方向
trái,左,方向
phải,右,方向
giữa,間・中央,方向
gần,近い,方向
xa,遠い,方向
bên cạnh,隣,方向
bệnh,病気,健康
đau,痛い,健康
sốt,熱,健康
ho,咳,健康
thuốc,薬,健康
bóng đá,サッカー,趣味
bóng rổ,バスケットボール,趣味
bơi,泳ぐ,趣味
âm nhạc,音楽,趣味
phim,映画,趣味
vẽ,絵を描く,趣味
điện thoại,電話,技術
internet,インターネット,技術
email,メール,技術
tin nhắn,メッセージ,技術
mạng,ネットワーク,技術
pin,電池,技術
sạc,充電する,技術
luôn luôn,いつも,副詞
thường,普段,副詞
đôi khi,時々,副詞
hiếm khi,めったに,副詞
ngay,すぐに,副詞
sớm,早く,副詞
muộn,遅く,副詞
rất,とても,副詞
quá,すぎる,副詞
cũng,も,副詞
chỉ,だけ,副詞
