"spelling","meaning","tags","例文・メモ"
"thời gian","時間","時間",""
"lịch","カレンダー、暦","時間",""
"cuối tuần","週末","時間",""
"ngày","日","時間",""
"ngày thường","平日","時間",""
"ngày nghỉ","休日","時間",""
"và","そして、〜と","文法",""
"hoặc","または","文法",""
"nhưng","しかし","文法",""
"vì","〜なので、〜のために","文法",""
"nên","だから、〜すべき","文法",""
"nếu","もし","文法",""
"thì","〜なら、〜は","文法",""
"mà","〜であるところの、しかし","文法",""
"của","〜の","文法",""
"cho","〜に、〜のために","文法",""
"với","〜と、一緒に","文法",""
"từ","〜から、言葉","文法",""
"ở","〜に、〜で","文法",""
"trong","〜の中で","文法",""
"trên","〜の上で","文法",""
"dưới","〜の下で","文法",""
"ngoài","外に、〜以外","文法",""
"giữa","〜の間に","文法",""
"sau","後、〜の後","文法",""
"trước","前、〜の前","文法",""
"về","〜について、戻る","文法",""
"qua","通る、〜を越えて","文法",""
"theo","〜に従って、一緒に","文法",""
"bằng","〜で、〜によって","文法",""
"để","〜するために、置く","文法",""
"tại","〜で、〜に","文法",""
"bởi vì","なぜなら","文法",""
"do","〜によって、〜のために","文法",""
"vì thế","だから、そのため","文法",""
"sau đó","その後","文法",""
"trước khi","〜する前に","文法",""
"sau khi","〜した後に","文法",""
"cho đến","〜まで","文法",""
"từ khi","〜以来","文法",""
"giống","似ている、同じ","文法",""
"như","〜のように","文法",""
"cũng","〜も、また","文法",""
"rất","とても","文法",""
"quá","あまりに、〜すぎる","文法",""
"thật","本当に","文法",""
"có","ある、持っている","副詞,文法",""
"là","〜である","副詞,文法",""
"đã","すでに、過去を表す","副詞,文法",""
"đang","〜している、進行中","副詞,文法",""
"sẽ","〜するだろう、未来","副詞,文法",""
"vừa","ちょうど〜した、〜したばかり","副詞,文法",""
"chưa","まだ〜していない","副詞,文法",""
"từng","かつて〜したことがある","副詞,文法",""
"bị","〜されてしまう、悪い状態になる","副詞,文法",""
"phải","〜しなければならない","副詞,文法",""
"cần","必要がある","副詞,文法",""
"muốn","欲しい、〜したい","副詞,文法",""
"có thể","〜できる、可能性がある","副詞,文法",""
"hãy","〜しよう、〜してください","副詞,文法",""
"đừng","〜しないで","副詞,文法",""
"cứ","そのまま〜する、どうぞ〜","副詞,文法",""
"lại","また、再び","副詞,文法",""
"vẫn","まだ、依然として","副詞,文法",""
"luôn","いつも","副詞,文法",""
"luôn luôn","いつも","副詞,文法",""
"thường","普段、普通は","副詞,文法",""
"thường xuyên","頻繁に","副詞,文法",""
"thỉnh thoảng","時々","副詞,文法",""
"đôi khi","たまに","副詞,文法",""
"hiếm khi","めったに〜ない","副詞,文法",""
"không bao giờ","決して〜ない","副詞,文法",""
"chỉ","ただ、〜だけ","副詞,文法",""
"hơn","〜より、もっと","副詞,文法",""
"nhất","最も、いちばん","副詞,文法",""
"ít","少ない","副詞,文法",""
"nhiều","多い、たくさん","副詞,文法",""
"một ít","少し","副詞,文法",""
"một số","いくつか","副詞,文法",""
"tất cả","すべて","副詞,文法",""
"mọi","すべての、毎〜","副詞,文法",""
"khác","違う、他の","副詞,文法",""
"cùng","一緒に、同じ","副詞,文法",""
"đều","みな、すべて","副詞,文法",""
"cả","全部、〜さえ","副詞,文法",""
"đủ","十分な","副詞,文法",""
"thức dậy","起きる","動詞",""
"chạy","走る","動詞",""
"đi bộ","歩く","動詞",""
"ngồi","座る","動詞",""
"đứng","立つ","動詞",""
"nằm","横になる","動詞",""
"bơi","泳ぐ","動詞",""
"nhảy","跳ぶ、踊る","動詞",""
"chơi","遊ぶ","動詞",""
"dạy","教える","動詞",""
"đọc","読む","動詞",""
"viết","書く","動詞",""
"nhìn","見る、眺める","動詞",""
"thấy","見える、感じる","動詞",""
"biết","知っている","動詞",""
"hiểu","理解する","動詞",""
"nghĩ","考える、思う","動詞",""
"nhớ","覚えている、思い出す","動詞",""
"quên","忘れる","動詞",""
"hỏi","尋ねる","動詞",""
"trả lời","答える","動詞",""
"gọi","呼ぶ、電話する","動詞",""
"gặp","会う","動詞",""
"giúp","助ける","動詞",""
"đưa","渡す、連れて行く","動詞",""
"mang","持っていく、持ってくる","動詞",""
"lấy","取る、受け取る","動詞",""
"đặt","置く、注文する","動詞",""
"bán","売る","買い物,お金",""
"mua sắm","買い物する","買い物,お金",""
"trả","返す、支払う","買い物,お金",""
"tiết kiệm","節約する、貯金する","買い物,お金",""
"đổi","交換する、変える","買い物,お金",""
"đổi tiền","両替する","買い物,お金",""
"giá","価格","買い物,お金",""
"rẻ","安い","買い物,お金",""
"đắt","高い","買い物,お金",""
"giảm giá","値引き、割引","買い物,お金",""
"khuyến mại","セール、販売促進","買い物,お金",""
"hàng","商品、品物","買い物,お金",""
"hàng hóa","商品、物品","買い物,お金",""
"sản phẩm","製品","買い物,お金",""
"khách","客","買い物,お金",""
"khách hàng","顧客","買い物,お金",""
"cửa hàng","店","買い物,お金",""
"siêu thị","スーパー","買い物,お金",""
"quán","店、飲食店","買い物,お金",""
"nhà hàng","レストラン","買い物,お金",""
"hóa đơn","請求書、伝票","買い物,お金",""
"tiền","お金","買い物,お金",""
"đồng","ドン、ベトナム通貨","買い物,お金",""
"thẻ","カード","買い物,お金",""
"ví","財布","買い物,お金",""
"túi","袋、バッグ","買い物,お金",""
"bao nhiêu tiền","いくらですか","買い物,お金",""
"rẻ hơn","もっと安い","買い物,お金",""
"đắt hơn","もっと高い","買い物,お金",""
"thử","試す","買い物,お金",""
"chọn","選ぶ","買い物,お金",""
"thiếu","足りない","買い物,お金",""
"mặt hàng","商品","買い物,お金",""
"bảo hành","保証","買い物,お金",""
"đổi trả","返品・交換","買い物,お金",""
"mặc cả","値段交渉する","買い物,お金",""
"bún","米麺","食べ物,飲み物",""
"mì","麺","食べ物,飲み物",""
"cháo","おかゆ","食べ物,飲み物",""
"cơm tối","夕食","食べ物,飲み物",""
"bữa ăn","食事","食べ物,飲み物",""
"bữa sáng","朝食","食べ物,飲み物",""
"bữa trưa","昼食","食べ物,飲み物",""
"bữa tối","夕食","食べ物,飲み物",""
"thức ăn","食べ物","食べ物,飲み物",""
"món ăn","料理、料理の品","食べ物,飲み物",""
"thịt bò","牛肉","食べ物,飲み物",""
"thịt lợn","豚肉","食べ物,飲み物",""
"thịt gà","鶏肉","食べ物,飲み物",""
"tôm","エビ","食べ物,飲み物",""
"mực","イカ","食べ物,飲み物",""
"trứng","卵","食べ物,飲み物",""
"đậu phụ","豆腐","食べ物,飲み物",""
"rau mùi","パクチー","食べ物,飲み物",""
"cà chua","トマト","食べ物,飲み物",""
"cà rốt","にんじん","食べ物,飲み物",""
"khoai tây","じゃがいも","食べ物,飲み物",""
"chuối","バナナ","食べ物,飲み物",""
"xoài","マンゴー","食べ物,飲み物",""
"dưa hấu","スイカ","食べ物,飲み物",""
"táo","りんご","食べ物,飲み物",""
"nho","ぶどう","食べ物,飲み物",""
"chanh","レモン","食べ物,飲み物",""
"cam","オレンジ","食べ物,飲み物",""
"dứa","パイナップル","食べ物,飲み物",""
"sầu riêng","ドリアン","食べ物,飲み物",""
"sữa","牛乳、ミルク","食べ物,飲み物",""
"ngọt","甘い","食べ物",""
"mặn","塩辛い","食べ物",""
"chua","酸っぱい","食べ物",""
"đắng","苦い","食べ物",""
"cay","辛い","食べ物",""
"ấm","暖かい","食べ物",""
"tươi","新鮮な","食べ物",""
"sạch","きれい、清潔な","食べ物",""
"bẩn","汚い","食べ物",""
"đói","お腹が空いた","食べ物",""
"no","お腹いっぱい","食べ物",""
"khát","喉が渇いた","食べ物",""
"hơi","少し、やや","食べ物",""
"thơm","香りがよい、いい匂い","食べ物",""
"mùi","匂い、におい","食べ物",""
"nước chấm","つけだれ、ソース","食べ物",""
"bát","茶碗、ボウル","食べ物",""
"đũa","箸","食べ物",""
"thìa","スプーン","食べ物",""
"dao","包丁、ナイフ","食べ物",""
"cốc","コップ","食べ物",""
"chai","瓶","食べ物",""
"ly","グラス、カップ","食べ物",""
"đĩa","皿","食べ物",""
"nồi","鍋","食べ物",""
"chảo","フライパン","食べ物",""
"bếp","コンロ、台所","食べ物",""
"tủ lạnh","冷蔵庫","食べ物",""
"nhà bếp","台所","食べ物",""
"ăn sáng","朝食を食べる","食べ物",""
"ăn trưa","昼食を食べる","食べ物",""
"ăn tối","夕食を食べる","食べ物",""
"uống nước","水を飲む","食べ物",""
"uống cà phê","コーヒーを飲む","食べ物",""
"đặt món","料理を注文する","食べ物",""
"thanh toán","支払う、会計する","食べ物",""
"phòng","部屋","家,生活用品",""
"phòng khách","居間、客室","家,生活用品",""
"phòng ngủ","寝室","家,生活用品",""
"phòng bếp","台所、キッチン","家,生活用品",""
"nhà vệ sinh","トイレ","家,生活用品",""
"cửa","ドア","家,生活用品",""
"cửa sổ","窓","家,生活用品",""
"tường","壁","家,生活用品",""
"sàn","床","家,生活用品",""
"trần nhà","天井","家,生活用品",""
"bàn","机、テーブル","家,生活用品",""
"ghế","椅子","家,生活用品",""
"giường","ベッド","家,生活用品",""
"tủ","戸棚、タンス","家,生活用品",""
"gương","鏡","家,生活用品",""
"đèn","照明、ランプ","家,生活用品",""
"điện","電気","家,生活用品",""
"điều hòa","エアコン","家,生活用品",""
"quạt","扇風機","家,生活用品",""
"tivi","テレビ","家,生活用品",""
"máy tính","コンピューター","家,生活用品",""
"điện thoại","電話、携帯電話","家,生活用品",""
"sạc","充電する、充電器","家,生活用品",""
"pin","電池、バッテリー","家,生活用品",""
"khóa","鍵、ロック","家,生活用品",""
"chìa khóa","鍵","家,生活用品",""
"thang máy","エレベーター","家,生活用品",""
"cầu thang","階段","家,生活用品",""
"vườn","庭","家,生活用品",""
"cây","木、植物","家,生活用品",""
"hoa","花","家,生活用品",""
"lá","葉","家,生活用品",""
"rác","ごみ","家,生活用品",""
"sọt rác","ごみ箱","家,生活用品",""
"sạch sẽ","清潔な","家,生活用品",""
"bừa bộn","散らかっている","家,生活用品",""
"dọn","片付ける","家,生活用品",""
"rửa","洗う","家,生活用品",""
"lau","拭く","家,生活用品",""
"áo","服、シャツ","服,形容詞",""
"áo dài","アオザイ","服,形容詞",""
"áo khoác","上着、コート","服,形容詞",""
"áo mưa","レインコート","服,形容詞",""
"áo sơ mi","ワイシャツ","服,形容詞",""
"quần","ズボン","服,形容詞",""
"quần bò","ジーンズ","服,形容詞",""
"váy","スカート","服,形容詞",""
"giày","靴","服,形容詞",""
"dép","サンダル","服,形容詞",""
"mũ","帽子","服,形容詞",""
"mũ bảo hiểm","ヘルメット","服,形容詞",""
"tất","靴下","服,形容詞",""
"thắt lưng","ベルト","服,形容詞",""
"kính","眼鏡、ガラス","服,形容詞",""
"kính râm","サングラス","服,形容詞",""
"đeo","身につける、着用する","服,形容詞",""
"mặc","着る","服,形容詞",""
"cởi","脱ぐ","服,形容詞",""
"xinh","かわいい、きれい","服,形容詞",""
"xấu","醜い、悪い","服,形容詞",""
"rộng","広い、ゆったりした","服,形容詞",""
"chật","狭い、きつい","服,形容詞",""
"dài","長い","服,形容詞",""
"ngắn","短い","服,形容詞",""
"dày","厚い","服,形容詞",""
"mỏng","薄い","服,形容詞",""
"nặng","重い","服,形容詞",""
"nhẹ","軽い","服,形容詞",""
"cao","高い、背が高い","服,形容詞",""
"thấp","低い、背が低い","服,形容詞",""
"đỏ","赤い","服,形容詞",""
"đen","黒い","服,形容詞",""
"trắng","白い","服,形容詞",""
"bố mẹ","両親","家族,人",""
"chồng","夫","家族,人",""
"vợ","妻","家族,人",""
"bạn trai","彼氏","家族,人",""
"bạn gái","彼女","家族,人",""
"con trai","息子","家族,人",""
"con gái","娘","家族,人",""
"con cả","長子","家族,人",""
"con út","末っ子","家族,人",""
"họ hàng","親戚","家族,人",""
"bạn thân","親友","家族,人",""
"hàng xóm","近所の人","家族,人",""
"người lớn","大人","家族,人",""
"trẻ em","子ども","家族,人",""
"trẻ con","子ども","家族,人",""
"đứa trẻ","子ども一人","家族,人",""
"người đàn ông","男性","家族,人",""
"phụ nữ","女性","家族,人",""
"nam","男性、南","家族,人",""
"nữ","女性","家族,人",""
"người già","高齢者","家族,人",""
"thanh niên","若者","家族,人",""
"nhân viên","従業員","家族,人",""
"giáo viên","教師","家族,人",""
"bác sĩ","医師","家族,人",""
"y tá","看護師","家族,人",""
"sinh viên","大学生","家族,人",""
"học sinh","学生、生徒","家族,人",""
"đầu","頭","身体,健康",""
"mặt","顔","身体,健康",""
"mắt","目","身体,健康",""
"tai","耳","身体,健康",""
"mũi","鼻","身体,健康",""
"miệng","口","身体,健康",""
"răng","歯","身体,健康",""
"lưỡi","舌","身体,健康",""
"cổ","首","身体,健康",""
"vai","肩","身体,健康",""
"cánh tay","腕","身体,健康",""
"bàn tay","手","身体,健康",""
"ngón tay","指","身体,健康",""
"ngón cái","親指","身体,健康",""
"ngón trỏ","人差し指","身体,健康",""
"ngón giữa","中指","身体,健康",""
"ngón áp út","薬指","身体,健康",""
"ngón út","小指","身体,健康",""
"ngực","胸","身体,健康",""
"bụng","お腹","身体,健康",""
"lưng","背中","身体,健康",""
"eo","腰","身体,健康",""
"chân","脚、足","身体,健康",""
"đùi","太もも","身体,健康",""
"đầu gối","膝","身体,健康",""
"bàn chân","足の裏、足","身体,健康",""
"ngón chân","足の指","身体,健康",""
"da","皮膚","身体,健康",""
"tóc","髪","身体,健康",""
"máu","血","身体,健康",""
"tim","心臓、心","身体,健康",""
"gan","肝臓","身体,健康",""
"phổi","肺","身体,健康",""
"dạ dày","胃","身体,健康",""
"họng","喉","身体,健康",""
"cơ thể","身体","身体,健康",""
"đau","痛い、痛む","身体,健康",""
"nhức","ズキズキ痛む","身体,健康",""
"ngứa","かゆい","身体,健康",""
"sưng","腫れる","身体,健康",""
"bệnh","病気、疾患","健康",""
"ốm","病気の、具合が悪い","健康",""
"khỏe","元気、健康だ","健康",""
"khỏe mạnh","健康な、丈夫な","健康",""
"sức khỏe","健康","健康",""
"đau đầu","頭痛","健康",""
"đau bụng","腹痛","健康",""
"đau răng","歯が痛い","健康",""
"sốt","熱、発熱","健康",""
"ho","咳をする、咳","健康",""
"sổ mũi","鼻水","健康",""
"cảm cúm","風邪、インフルエンザ","健康",""
"viêm","炎症","健康",""
"thuốc","薬","健康",""
"đơn thuốc","処方箋","健康",""
"khám bệnh","診察を受ける、診察する","健康",""
"nhà thuốc","薬局","健康",""
"uống thuốc","薬を飲む","健康",""
"đi khám","診察を受けに行く","健康",""
"nghỉ ngơi","休む","健康",""
"ngủ đủ","十分に寝る","健康",""
"mệt","疲れている","健康",""
"mệt mỏi","疲れ切っている","健康",""
"khó chịu","不快、具合が悪い","健康",""
"nguy hiểm","危険","健康",""
"cẩn thận","気をつける","健康",""
"an toàn","安全","健康",""
"cấp cứu","救急","健康",""
"xe cấp cứu","救急車","健康",""
"chấn thương","けが、外傷","健康",""
"vết thương","傷","健康",""
"đỡ","楽になる、支える","健康",""
"khỏi","治って、〜を離れて","健康",""
"khẩn cấp","緊急","健康",""
"đau đớn","苦痛","健康",""
"điều trị","治療する","健康",""
"sức khỏe tốt","健康状態がよい","健康",""
"xe","車、乗り物","交通,旅行",""
"xe máy","バイク","交通,旅行",""
"xe đạp","自転車","交通,旅行",""
"xe buýt","バス","交通,旅行",""
"xe tải","トラック","交通,旅行",""
"xe ôm","バイクタクシー","交通,旅行",""
"tàu","列車、船","交通,旅行",""
"tàu hỏa","電車、列車","交通,旅行",""
"tàu thủy","船","交通,旅行",""
"máy bay","飛行機","交通,旅行",""
"chuyến bay","フライト","交通,旅行",""
"ga","駅","交通,旅行",""
"bến xe","バスターミナル、バス停","交通,旅行",""
"taxi","タクシー","交通,旅行",""
"tắc xi","タクシー","交通,旅行",""
"đường","道、道路","交通,旅行",""
"đường phố","通り","交通,旅行",""
"phố","街、通り","交通,旅行",""
"ngã ba","三叉路、T字路","交通,旅行",""
"ngã tư","交差点","交通,旅行",""
"đi thẳng","まっすぐ進む","交通,旅行",""
"rẽ phải","右に曲がる","交通,旅行",""
"rẽ trái","左に曲がる","交通,旅行",""
"đi qua","通り過ぎる、通過する","交通,旅行",""
"quay lại","戻る","交通,旅行",""
"quay đầu","Uターンする","交通,旅行",""
"đến nơi","到着する","交通,旅行",""
"khởi hành","出発する","交通,旅行",""
"xuất phát","出発する","交通,旅行",""
"hạ cánh","着陸する","交通,旅行",""
"cất cánh","離陸する","交通,旅行",""
"vé","チケット、切符","交通,旅行",""
"vé máy bay","航空券","交通,旅行",""
"hộ chiếu","パスポート","交通,旅行",""
"hành lý","荷物","交通,旅行",""
"vali","スーツケース","交通,旅行",""
"bản đồ","地図","交通,旅行",""
"địa chỉ","住所","交通,旅行",""
"vị trí","位置","交通,旅行",""
"trường học","学校","学習",""
"đại học","大学","学習",""
"tiểu học","小学校","学習",""
"lớp học","教室、クラス","学習",""
"giáo trình","教科書","学習",""
"sách","本","学習",""
"vở","ノート","学習",""
"bút","ペン","学習",""
"bút chì","鉛筆","学習",""
"cục tẩy","消しゴム","学習",""
"bảng","黒板、表","学習",""
"bảng trắng","ホワイトボード","学習",""
"bài","課、問題、 bài","学習",""
"bài tập","宿題、練習問題","学習",""
"thi","試験を受ける","学習",""
"kỳ thi","試験","学習",""
"câu hỏi","質問","学習",""
"câu trả lời","答え","学習",""
"từ vựng","語彙","学習",""
"ngữ pháp","文法","学習",""
"phát âm","発音","学習",""
"tiếng Việt","ベトナム語","学習",""
"tiếng Nhật","日本語","学習",""
"tiếng Anh","英語","学習",""
"học kỳ","学期","学習",""
"ôn tập","復習","学習",""
"tự học","自習","学習",""
"thực hành","練習、実践","学習",""
"nghiên cứu","研究する","学習",""
"giải thích","説明する","学習",""
"nói chuyện","話す、会話する","学習",""
"giới thiệu","紹介する","学習",""
"công ty","会社","仕事",""
"công việc","仕事","仕事",""
"việc làm","仕事、雇用","仕事",""
"văn phòng","オフィス","仕事",""
"giám đốc","社長、ディレクター","仕事",""
"sếp","上司、ボス","仕事",""
"đồng nghiệp","同僚","仕事",""
"cuộc họp","会議","仕事",""
"họp","会議をする","仕事",""
"hợp đồng","契約","仕事",""
"kế hoạch","計画","仕事",""
"dự án","プロジェクト","仕事",""
"báo cáo","報告、レポート","仕事",""
"tài liệu","資料、文書","仕事",""
"thông tin","情報","仕事",""
"email","メール","仕事",""
"ngày làm việc","勤務日","仕事",""
"giờ làm việc","勤務時間","仕事",""
"bận","忙しい","仕事",""
"rảnh","暇な、空いている","仕事",""
"nghỉ","休む、休暇","仕事",""
"nghỉ phép","休暇","仕事",""
"đi công tác","出張する","仕事",""
"làm việc","働く","仕事",""
"bắt đầu","始める","仕事",""
"kết thúc","終わる","仕事",""
"hoàn thành","完了する","仕事",""
"chuẩn bị","準備する","仕事",""
"kiểm tra","確認する","仕事",""
"sửa","修理する、直す","仕事",""
"thay đổi","変える、変化する","仕事",""
"giúp đỡ","助ける","仕事",""
"cần thiết","必要な","仕事",""
"quan trọng","重要な","仕事",""
"có kinh nghiệm","経験がある","仕事",""
"kinh nghiệm","経験","仕事",""
"tốt","良い","形容詞,感情",""
"xinh đẹp","美しい、きれい","形容詞,感情",""
"tuyệt","素晴らしい","形容詞,感情",""
"tuyệt vời","素晴らしい","形容詞,感情",""
"hay","よい、上手、よく","形容詞,感情",""
"giỏi","上手な、得意な","形容詞,感情",""
"thông minh","賢い","形容詞,感情",""
"chăm chỉ","勤勉な","形容詞,感情",""
"lười","怠けた、怠惰な","形容詞,感情",""
"tốt bụng","親切な","形容詞,感情",""
"thân thiện","親しみやすい","形容詞,感情",""
"dễ thương","かわいい","形容詞,感情",""
"vui vẻ","楽しい、明るい","形容詞,感情",""
"giận","怒る","形容詞,感情",""
"cáu giận","怒っている","形容詞,感情",""
"sợ","怖がる","形容詞,感情",""
"lo lắng","心配する","形容詞,感情",""
"hy vọng","希望する","形容詞,感情",""
"yêu","愛する、好きだ","形容詞,感情",""
"ghét","嫌う","形容詞,感情",""
"thích","好きだ、気に入る","形容詞,感情",""
"mê","夢中になる","形容詞,感情",""
"khó","難しい","形容詞,感情",""
"dễ","簡単な","形容詞,感情",""
"đơn giản","簡単な、単純な","形容詞,感情",""
"phức tạp","複雑な","形容詞,感情",""
"nhanh","速い","形容詞,感情",""
"chậm","遅い","形容詞,感情",""
"xa","遠い","形容詞,感情",""
"gần","近い","形容詞,感情",""
"hẹp","狭い","形容詞,感情",""
"màu","色","自然,天気",""
"vàng","黄色、金色","自然,天気",""
"xanh","青、緑","自然,天気",""
"xanh lá","緑","自然,天気",""
"xanh nước biển","青、水色","自然,天気",""
"tím","紫","自然,天気",""
"hồng","ピンク","自然,天気",""
"nâu","茶色","自然,天気",""
"xám","灰色","自然,天気",""
"ánh sáng","光","自然,天気",""
"mặt trời","太陽","自然,天気",""
"mặt trăng","月","自然,天気",""
"bầu trời","空","自然,天気",""
"mây","雲","自然,天気",""
"mưa","雨、雨が降る","自然,天気",""
"tuyết","雪","自然,天気",""
"gió","風","自然,天気",""
"bão","嵐、台風","自然,天気",""
"sấm","雷","自然,天気",""
"sấm sét","雷鳴","自然,天気",""
"thời tiết","天気","自然,天気",""
"khí hậu","気候","自然,天気",""
"ấm áp","暖かい","自然,天気",""
"mát","涼しい","自然,天気",""
"khô","乾いた","自然,天気",""
"ướt","濡れた","自然,天気",""
"ẩm","湿っている","自然,天気",""
"độ ẩm","湿度","自然,天気",""
"nhiệt độ","温度","自然,天気",""
"biển","海","自然,天気",""
"sông","川","自然,天気",""
"núi","山","自然,天気",""
"động vật","動物","自然,生き物",""
"chó","犬","自然,生き物",""
"mèo","猫","自然,生き物",""
"chim","鳥","自然,生き物",""
"gà","鶏","自然,生き物",""
"vịt","アヒル","自然,生き物",""
"bò","牛","自然,生き物",""
"lợn","豚","自然,生き物",""
"heo","豚（南部）","自然,生き物",""
"ngựa","馬","自然,生き物",""
